Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,2,1,0,5.000000e-01,5.652500e+00
2,2,0,1,1,5.000000e-01,5.652500e+00
3,2,8,3,1,5.000000e-01,8.882500e+00
4,8,4,1,1,5.000000e-01,2.422500e+00
5,0,4,2,0,2,2.422500e+00
6,8,4,2,0,2,4.037500e+00
7,8,2,2,1,5.000000e-01,8.075000e-01
8,4,2,2,1,2,8.075000e-01
9,8,4,3,1,5.000000e-01,4.037500e+00
10,0,2,3,1,5.000000e-01,8.075000e-01
11,8,0,3,1,2,8.075000e-01
12,4,2,3,0,2,8.075000e-01
13,0,4,3,1,5.000000e-01,2.422500e+00
14,4,8,3,0,5.000000e-01,8.075000e-01
15,0,2,3,0,5.000000e-01,4.037500e+00
16,2,8,3,0,2,2.422500e+00
17,2,8,3,0,5.000000e-01,2.422500e+00
18,4,2,1,1,3.500000e+00,8.075000e-01
19,0,8,1,0,3.500000e+00,2.422500e+00
20,4,0,2,1,2,2.422500e+00
21,8,2,1,0,2,8.075000e-01
22,0,8,2,0,5.000000e-01,8.075000e-01
23,8,2,2,0,2,8.075000e-01
24,2,8,1,1,5.000000e-01,8.075000e-01
25,0,8,1,1,3.500000e+00,8.075000e-01
26,4,8,2,1,5.000000e-01,8.075000e-01
27,2,0,1,0,2,8.075000e-01
28,2,4,2,0,2,7.267500e+00
29,8,2,1,1,5.000000e-01,8.075000e-01
30,8,2,3,1,2,8.075000e-01
31,0,4,1,0,5.000000e-01,8.075000e-01
32,4,8,1,0,5.000000e-01,2.422500e+00
33,4,2,3,1,5.000000e-01,2.422500e+00
34,2,4,1,0,2,4.037500e+00
35,8,0,2,1,5.000000e-01,4.037500e+00
36,2,8,2,0,2,7.267500e+00
37,0,4,1,1,5.000000e-01,8.075000e-01
38,0,4,3,0,2,8.075000e-01
39,0,2,2,0,5.000000e-01,8.075000e-01
40,0,2,2,1,5.000000e-01,8.075000e-01
41,8,2,2,1,5.000000e-01,2.422500e+00
42,0,8,3,0,3.500000e+00,2.422500e+00
