TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,8,4,3,0,2,8.075000e-01,1.0,0.0,4.0235596,1.0,8,5.683473,high,1.6599138,1.3400862,6.2031937,10.774858,10.778033,12.780648,8.757089,12.78109,13.581379
2,2,0,8,3,0,5.000000e-01,7.267500e+00,1.0,1.0,13.593909,2.0,8,15.549577,high,1.9556679,1.0443321,16.072105,18.843788,18.844193,20.846914,7.253006,20.8473,28.111504
3,3,2,8,2,1,2,8.075000e-01,1.0,2.0,28.232916,1.0,2,31.1835,low,2.9505837,0.0494162,31.70247,34.983448,34.985947,36.988926,8.756011,36.989315,37.790916
4,4,2,0,2,0,5.000000e-01,5.652500e+00,1.0,3.0,37.903343,1.0,2,40.166775,high,2.2634294,0.7365707,40.68611,43.153828,43.15556,45.157787,7.2544436,45.158165,50.80691
5,5,2,8,2,1,5.000000e-01,2.422500e+00,1.0,4.0,50.916912,1.0,2,53.133793,low,2.2168794,0.7831207,53.653015,56.167274,56.169186,58.171024,7.254111,58.17141,60.589916
6,6,8,2,2,0,5.000000e-01,7.267500e+00,1.0,5.0,60.704693,1.0,8,62.71662,high,2.0119278,0.9880722,63.23582,65.95625,65.957985,67.96002,7.255329,67.96041,75.222916
7,7,8,0,2,1,5.000000e-01,4.037500e+00,1.0,6.0,75.33645,2.0,0,77.732704,low,2.3962598,0.6037402,78.25328,80.587036,80.58715,82.58884,7.252386,82.58922,86.62485
8,8,8,0,3,1,5.000000e-01,8.075000e-01,1.0,7.0,86.635445,1.0,8,88.583275,high,1.9478317,1.0521683,89.10267,91.88615,91.88803,93.89011,7.2546635,93.89049,94.692924
9,9,8,4,2,0,2,8.075000e-01,1.0,8.0,94.80454,2.0,4,96.54929,low,1.7447526,1.2552474,97.06929,101.554665,101.55648,103.55901,8.75447,103.559395,104.36166
10,10,2,4,2,0,5.000000e-01,2.422500e+00,1.0,9.0,104.47214,1.0,2,106.11626,low,1.6441203,1.3558797,106.63621,109.72259,109.722984,111.72475,7.252604,111.72513,114.14434
