Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,1,1,2,8.075000e-01
2,8,0,3,1,2,4.037500e+00
3,4,8,3,1,2,7.267500e+00
4,8,0,2,1,5.000000e-01,2.422500e+00
5,2,8,1,1,3.500000e+00,2.422500e+00
6,8,0,1,0,5.000000e-01,8.882500e+00
7,2,0,3,0,2,8.075000e-01
8,4,0,1,0,2,2.422500e+00
9,2,8,3,1,5.000000e-01,2.422500e+00
10,2,8,1,0,2,8.075000e-01
11,2,8,1,0,5.000000e-01,8.075000e-01
12,2,8,2,1,3.500000e+00,2.422500e+00
13,0,4,3,0,2,8.075000e-01
14,4,2,2,1,5.000000e-01,7.267500e+00
15,2,0,2,1,2,8.075000e-01
16,4,0,2,1,5.000000e-01,8.075000e-01
17,2,8,2,1,5.000000e-01,5.652500e+00
18,2,4,2,0,3.500000e+00,2.422500e+00
19,4,2,1,0,3.500000e+00,8.075000e-01
20,4,0,3,1,2,8.075000e-01
21,8,4,3,0,5.000000e-01,8.075000e-01
22,0,2,1,1,5.000000e-01,8.075000e-01
23,4,8,1,0,2,4.037500e+00
24,2,4,3,0,5.000000e-01,4.037500e+00
25,0,8,1,1,2,2.422500e+00
26,4,0,2,0,2,8.075000e-01
27,0,8,2,0,5.000000e-01,8.075000e-01
28,2,8,2,0,5.000000e-01,8.075000e-01
29,2,8,3,0,5.000000e-01,2.422500e+00
30,8,4,1,1,5.000000e-01,2.422500e+00
31,8,4,2,1,5.000000e-01,5.652500e+00
32,2,8,2,0,2,4.037500e+00
33,8,0,3,0,5.000000e-01,8.075000e-01
34,0,2,1,0,5.000000e-01,8.075000e-01
35,2,4,3,1,2,4.037500e+00
36,2,0,3,1,5.000000e-01,2.422500e+00
37,8,2,3,0,5.000000e-01,2.422500e+00
38,2,8,1,1,5.000000e-01,8.075000e-01
39,8,2,3,1,5.000000e-01,8.075000e-01
40,4,8,2,0,2,8.075000e-01
41,0,4,1,1,5.000000e-01,8.075000e-01
42,0,2,2,0,5.000000e-01,8.075000e-01
